"fitted_model","stacking","pseudo_BMA","n_years_val.x","BMA","n_years_val.y","sim","gen_model","n_years"
"rh",0,0,5,1.7436976969681e-122,0,23,"apc",20
"rh",0,0,10,1.7436976969681e-122,0,23,"apc",20
"apc",1,1,10,1.96507129427212e-77,0,24,"apc",20
"apc",0.314,0.178,1,1.96507129427212e-77,0,24,"apc",20
"apc",0.921,1,5,1.96507129427212e-77,0,24,"apc",20
"cbd",0,0,10,7.91427925857151e-77,0,24,"apc",20
"cbd",0,0,5,7.91427925857151e-77,0,24,"apc",20
"cbd",0,0,1,7.91427925857151e-77,0,24,"apc",20
"lc",0,0,1,3.62665709528166e-143,0,24,"apc",20
"lc",0.023,0,5,3.62665709528166e-143,0,24,"apc",20
"lc",0,0,10,3.62665709528166e-143,0,24,"apc",20
"m6",0,0,5,1,0,24,"apc",20
"m6",0,0,10,1,0,24,"apc",20
"m6",0.686,0.822,1,1,0,24,"apc",20
"rh",0,0,1,7.10739672546138e-110,0,24,"apc",20
"rh",0.056,0,5,7.10739672546138e-110,0,24,"apc",20
"rh",0,0,10,7.10739672546138e-110,0,24,"apc",20
"apc",0.357,0.232,10,8.58539029782622e-92,0,25,"apc",20
"apc",0.368,0.675,1,8.58539029782622e-92,0,25,"apc",20
"apc",0.899,1,5,8.58539029782622e-92,0,25,"apc",20
"cbd",0.001,0,10,4.21045165552049e-109,0,25,"apc",20
"cbd",0.101,0,5,4.21045165552049e-109,0,25,"apc",20
"cbd",0,0,1,4.21045165552049e-109,0,25,"apc",20
"lc",0,0,1,1.07752635831661e-168,0,25,"apc",20
"lc",0,0,5,1.07752635831661e-168,0,25,"apc",20
"lc",0,0,10,1.07752635831661e-168,0,25,"apc",20
"m6",0,0,5,1,0,25,"apc",20
"m6",0.642,0.768,10,1,0,25,"apc",20
"m6",0.309,0.185,1,1,0,25,"apc",20
"rh",0.323,0.139,1,4.07772276828906e-118,0,25,"apc",20
"rh",0,0,5,4.07772276828906e-118,0,25,"apc",20
"rh",0,0,10,4.07772276828906e-118,0,25,"apc",20
"apc",1,1,10,3.89978950321546e-83,0,26,"apc",20
"apc",0.955,0.961,1,3.89978950321546e-83,0,26,"apc",20
"apc",0.96,1,5,3.89978950321546e-83,0,26,"apc",20
"cbd",0,0,10,6.2785545052561e-74,0,26,"apc",20
"cbd",0,0,5,6.2785545052561e-74,0,26,"apc",20
"cbd",0,0,1,6.2785545052561e-74,0,26,"apc",20
"lc",0.045,0,1,4.62543085148438e-137,0,26,"apc",20
"lc",0.04,0,5,4.62543085148438e-137,0,26,"apc",20
"lc",0,0,10,4.62543085148438e-137,0,26,"apc",20
"m6",0,0,5,1,0,26,"apc",20
"m6",0,0,10,1,0,26,"apc",20
"m6",0,0.028,1,1,0,26,"apc",20
"rh",0,0.011,1,2.08689254987695e-112,0,26,"apc",20
"rh",0,0,5,2.08689254987695e-112,0,26,"apc",20
"rh",0,0,10,2.08689254987695e-112,0,26,"apc",20
"apc",0.782,1,10,8.86090708866266e-82,0,27,"apc",20
"apc",0.491,0.476,1,8.86090708866266e-82,0,27,"apc",20
"apc",0.784,1,5,8.86090708866266e-82,0,27,"apc",20
"cbd",0,0,10,5.32555512341006e-91,0,27,"apc",20
"cbd",0,0,5,5.32555512341006e-91,0,27,"apc",20
"cbd",0,0,1,5.32555512341006e-91,0,27,"apc",20
"lc",0,0,1,2.56328693869649e-147,0,27,"apc",20
"lc",0,0,5,2.56328693869649e-147,0,27,"apc",20
"lc",0.043,0,10,2.56328693869649e-147,0,27,"apc",20
"m6",0.216,0,5,1,0,27,"apc",20
"m6",0,0,10,1,0,27,"apc",20
"m6",0.509,0.524,1,1,0,27,"apc",20
"rh",0,0,1,3.65803536660861e-116,0,27,"apc",20
"rh",0,0,5,3.65803536660861e-116,0,27,"apc",20
"rh",0.175,0,10,3.65803536660861e-116,0,27,"apc",20
"apc",0.967,1,10,1.27914834385497e-88,0,28,"apc",20
"apc",0.21,0.409,1,1.27914834385497e-88,0,28,"apc",20
"apc",0.962,1,5,1.27914834385497e-88,0,28,"apc",20
"cbd",0,0,10,1.80917748218114e-76,0,28,"apc",20
"cbd",0,0,5,1.80917748218114e-76,0,28,"apc",20
"cbd",0,0,1,1.80917748218114e-76,0,28,"apc",20
"lc",0.188,0.001,1,4.619288180876e-154,0,28,"apc",20
"lc",0,0,5,4.619288180876e-154,0,28,"apc",20
"lc",0,0,10,4.619288180876e-154,0,28,"apc",20
"m6",0,0,5,1,0,28,"apc",20
"m6",0.033,0,10,1,0,28,"apc",20
"m6",0.518,0.563,1,1,0,28,"apc",20
"rh",0.084,0.027,1,4.13164475029478e-114,0,28,"apc",20
"rh",0.038,0,5,4.13164475029478e-114,0,28,"apc",20
"rh",0,0,10,4.13164475029478e-114,0,28,"apc",20
"apc",0.529,0.812,10,2.41005767897016e-89,0,29,"apc",20
"apc",0.755,0.853,1,2.41005767897016e-89,0,29,"apc",20
"apc",0.99,1,5,2.41005767897016e-89,0,29,"apc",20
"cbd",0,0,10,9.84723234140178e-85,0,29,"apc",20
"cbd",0,0,5,9.84723234140178e-85,0,29,"apc",20
"cbd",0,0,1,9.84723234140178e-85,0,29,"apc",20
"lc",0.061,0,1,1.99363098651592e-147,0,29,"apc",20
"lc",0.01,0,5,1.99363098651592e-147,0,29,"apc",20
