t,k_t
1963,0.04253116283358002
1964,0.0746224079624081
1965,-3.2928638647403006e-4
1966,0.02905199427076006
1967,0.023804194091259216
1968,0.009624874981799533
1969,0.048662541085405145
1970,0.04225639478771024
1971,0.002916199959879937
1972,-0.001976742432498722
1973,-0.025702870867757327
1974,-0.026544174873211843
1975,-0.061693247319880136
1976,-0.04583793861530033
1977,-0.04115129216167939
1978,-0.11083620974475385
1979,-0.12098451193390711
1980,-0.15127941644941953
1981,-0.14206568574201767
1982,-0.17322043959478015
1983,-0.18172303440992213
1984,-0.174748056130642
1985,-0.2144877315962492
1986,-0.2156335758932782
1987,-0.2449655774661653
1988,-0.2934305299337236
1989,-0.3299739962334992
1990,-0.32541428185789584
1991,-0.3613712481153422
1992,-0.3637817633270353
1993,-0.38346126004414294
1994,-0.3702596519143727
1995,-0.407380712969252
1996,-0.39919723079138436
1997,-0.41048017020920713
1998,-0.44134103428662813
1999,-0.44049123851874344
2000,-0.45386742043620965
2001,-0.4805813559687988
2002,-0.5114982866864851
2003,-0.4984115275082663
2004,-0.5152225556956216
2005,-0.5629649327555306
2006,-0.5823308096215151
2007,-0.6147724085468667
2008,-0.6348685383505528
2009,-0.641485594312119
2010,-0.6506676724760017
2011,-0.6709869481239971
2012,-0.7016752344164934
2013,-0.6804775129544647
2014,-0.6987035140514567
2015,-0.7499188053274596
2016,-0.7532575097992005
2017,-0.7721242484719084
2018,-0.7893690037672202
2019,-0.8004653457366347
1960,0
1961,0.09079277376377642
1962,0.026254461713053373
1963,0.042662021488537656
1964,0.07171448632269603
1965,0.0018044268182045393
1966,0.03126487694471555
1967,0.02184982177148065
1968,0.012433903436698469
1969,0.047112506383558246
1970,0.037780959642382754
1971,0.0018076675951132022
1972,-0.0012872317184626355
1973,-0.024315665668407278
1974,-0.028552723489475962
1975,-0.05915588269238935
1976,-0.04319859375593283
1977,-0.04689668784509291
1978,-0.1126345768730013
1979,-0.11973765232701337
1980,-0.15484277624903756
1981,-0.1400210074412913
1982,-0.17194067793204756
1983,-0.19150230149557423
1984,-0.18111058104562952
1985,-0.20407348425864755
1986,-0.22132638732825355
1987,-0.24944997972922667
1988,-0.29856370050330067
1989,-0.3244325204627441
1990,-0.32617631348588955
1991,-0.35608360402406686
1992,-0.3692862792348589
1993,-0.3855507898460939
1994,-0.3734604661498846
1995,-0.40249014522688376
1996,-0.3972561906685325
1997,-0.4105955174793555
1998,-0.4403785285368066
1999,-0.4383736532725186
2000,-0.45309321400705815
2001,-0.47574399235808273
2002,-0.5054643350043643
2003,-0.5009035812364288
2004,-0.5171572598558043
2005,-0.5647621995446849
2006,-0.5768293488630936
2007,-0.6112122790319745
2008,-0.6328103365054153
2009,-0.6278377582352878
2010,-0.6539451066247653
2011,-0.6647075177926333
2012,-0.707814501659127
2013,-0.6711889246102027
2014,-0.6952853969752952
2015,-0.7518335422495926
2016,-0.7563137512262285
2017,-0.7672018438623075
2018,-0.792494592342899
2019,-0.8016446921385221
1960,0
1961,0.08397279908371255
1962,0.015880996115903802
1963,0.03551192286189124
1964,0.0714837933246596
1965,0.003963529382108281
1966,0.03175022084788377
1967,0.019226098672531056
1968,7.675674071365363e-4
1969,0.04082444699753231
1970,0.03189954955395621
1971,-0.007060941464132242
1972,-0.009314563472766582
1973,-0.03211592967280819
1974,-0.03398275046688363
1975,-0.07898241364371239
1976,-0.04743300042918358
1977,-0.068106449801837
1978,-0.11686266612870447
1979,-0.12318845133492004
